Time (s),u: X (4),u: Y (4),u: Z (4),,Time (s),u: X (3),u: Y (3),u: Z (3),,Time (s),u: X (5),u: Y (5),u: Z (5),,Time (s),Rot Vec: X (84),Rot Vec: Y (84),Rot Vec: Z (84),,Time (s),Lin Acc: X (82),Lin Acc: Y (82),Lin Acc: Z (82),,
48507.75507,0.053,-0.069,0.028,,48507.73014,-0.393,3.641,9.506,,48507.75507,-22.461,-38.245,-24.329,,48507.78993,0.09,-0.166,-0.917,,48507.78993,0.034,0.097,-0.429,,
48507.76005,0.058,-0.058,0.047,,48507.73515,-0.424,3.673,9.632,,48507.775,-22.461,-38.245,-24.329,,48507.79989,0.091,-0.167,-0.917,,48507.79989,-0.068,0.076,-0.464,,
48507.76502,0.056,-0.039,0.034,,48507.74012,-0.495,3.628,9.609,,48507.79492,-22.656,-38.342,-24.451,,48507.80487,0.094,-0.168,-0.915,,48507.80487,-0.311,-0.031,-0.425,,
48507.77,0.047,-0.017,0.035,,48507.7451,-0.556,3.598,9.57,,48507.81485,-22.656,-38.049,-24.585,,48507.81982,0.095,-0.168,-0.915,,48507.81982,-0.225,-0.058,-0.196,,
48507.775,0.036,-0.004,0.035,,48507.7501,-0.598,3.585,9.519,,48507.83475,-23.047,-38.049,-24.829,,48507.82977,0.094,-0.168,-0.915,,48507.8248,-0.124,-0.071,0.069,,
48507.77998,0.019,0.003,0.026,,48507.75507,-0.625,3.606,9.442,,48507.85467,-22.754,-37.952,-24.963,,48507.83475,0.093,-0.167,-0.916,,48507.83475,0.035,-0.113,0.572,,
48507.78495,0.002,0,0.017,,48507.76005,-0.624,3.624,9.297,,48507.87457,-22.656,-38.342,-24.707,,48507.84469,0.091,-0.166,-0.916,,48507.84469,0.092,-0.127,0.704,,
48507.78993,-0.012,-0.008,0.007,,48507.76502,-0.556,3.617,9.097,,48507.8945,-22.559,-38.147,-24.707,,48507.8497,0.09,-0.166,-0.917,,48507.8497,0.108,-0.114,0.693,,
48507.79492,-0.024,-0.022,-0.002,,48507.77,-0.515,3.673,9,,48507.9144,-22.754,-38.342,-24.963,,48507.85467,0.089,-0.165,-0.917,,48507.85467,0.113,-0.022,0.528,,
48507.79989,-0.033,-0.049,-0.009,,48507.775,-0.475,3.694,8.917,,48507.93432,-22.949,-37.854,-24.829,,48507.85965,0.088,-0.165,-0.917,,48507.85965,0.139,0.041,0.363,,
48507.80487,-0.034,-0.083,-0.013,,48507.77998,-0.467,3.74,8.867,,48507.95422,-22.754,-38.635,-24.585,,48507.8696,0.088,-0.166,-0.917,,48507.8696,0.139,0.102,0.195,,
48507.80987,-0.039,-0.116,-0.015,,48507.78495,-0.449,3.758,8.824,,48507.97415,-22.852,-38.538,-24.707,,48507.87457,0.088,-0.166,-0.917,,48507.87457,0.134,0.116,0.106,,
48507.81485,-0.045,-0.154,-0.011,,48507.78993,-0.475,3.748,8.764,,48507.99408,-23.145,-38.635,-24.585,,48507.87954,0.087,-0.167,-0.917,,48507.87954,0.137,0.088,0.09,,
48507.81982,-0.052,-0.191,-0.008,,48507.79492,-0.554,3.748,8.716,,48508.01397,-22.949,-37.854,-24.585,,48507.88952,0.087,-0.167,-0.917,,48507.88455,0.133,0.095,0.069,,
48507.8248,-0.06,-0.212,0.004,,48507.79989,-0.656,3.737,8.641,,48508.0339,-22.754,-37.854,-24.829,,48507.90445,0.088,-0.167,-0.917,,48507.88952,0.07,0.071,0.002,,
48507.82977,-0.068,-0.219,0.01,,48507.80487,-0.729,3.664,8.582,,48508.0538,-22.852,-38.538,-24.963,,48507.90942,0.088,-0.167,-0.917,,48507.90445,-0.066,0.009,-0.131,,
48507.83475,-0.071,-0.218,0.015,,48507.80987,-0.819,3.64,8.556,,48508.07373,-22.949,-38.147,-25.22,,48507.9144,0.088,-0.167,-0.917,,48507.90942,-0.138,-0.028,-0.205,,
48507.83972,-0.061,-0.21,0.016,,48507.81485,-0.836,3.633,8.631,,48508.09363,-23.047,-38.538,-25.22,,48507.91937,0.088,-0.167,-0.917,,48507.9144,-0.183,-0.048,-0.248,,
48507.84469,-0.038,-0.194,0.019,,48507.81982,-0.753,3.6,8.851,,48508.11355,-22.852,-38.147,-24.707,,48507.92438,0.088,-0.167,-0.917,,48507.91937,-0.206,-0.057,-0.244,,
48507.8497,-0.009,-0.169,0.019,,48507.8248,-0.649,3.58,9.121,,48508.13348,-23.047,-37.854,-25.085,,48507.92935,0.088,-0.167,-0.917,,48507.92438,-0.148,-0.096,-0.193,,
48507.85467,0.022,-0.133,0.019,,48507.82977,-0.568,3.576,9.418,,48508.15338,-23.047,-38.049,-25.085,,48507.93432,0.087,-0.167,-0.917,,48507.92935,-0.141,-0.072,-0.07,,
48507.85965,0.041,-0.093,0.02,,48507.83475,-0.471,3.524,9.672,,48508.17331,-23.242,-38.342,-25.22,,48507.9393,0.087,-0.168,-0.917,,48507.93432,-0.106,-0.064,0.044,,
48507.86462,0.051,-0.058,0.024,,48507.83972,-0.4,3.502,9.838,,48508.1932,-22.852,-38.538,-24.707,,48507.94925,0.086,-0.168,-0.917,,48507.9393,-0.022,-0.12,0.305,,
48507.8696,0.048,-0.033,0.021,,48507.84469,-0.372,3.509,9.857,,48508.21313,-23.242,-38.147,-24.451,,48507.95422,0.085,-0.168,-0.918,,48507.94925,0.017,-0.128,0.416,,
48507.87457,0.038,-0.018,0.012,,48507.8497,-0.371,3.555,9.841,,48508.23303,-23.145,-38.342,-24.707,,48507.95923,0.085,-0.168,-0.918,,48507.95422,0.053,-0.121,0.449,,
48507.87954,0.027,-0.006,0.002,,48507.85467,-0.347,3.601,9.74,,48508.25296,-23.242,-38.049,-25.085,,48507.9642,0.085,-0.168,-0.918,,48507.95923,0.048,-0.111,0.424,,
48507.88455,0.015,0.003,-0.009,,48507.85965,-0.313,3.668,9.588,,48508.27286,-23.633,-38.44,-24.329,,48507.96918,0.084,-0.168,-0.918,,48507.9642,0.027,-0.136,0.344,,
48507.88952,0.008,0.006,-0.016,,48507.86462,-0.306,3.735,9.426,,48508.29278,-23.535,-37.854,-24.329,,48507.97415,0.084,-0.168,-0.918,,48507.96918,0.037,-0.185,0.268,,
48507.8945,0.002,0.001,-0.022,,48507.8696,-0.305,3.755,9.34,,48508.31271,-23.926,-37.756,-24.207,,48507.97912,0.084,-0.168,-0.918,,48507.97415,0.001,-0.236,0.152,,
48507.89947,0.002,-0.013,-0.027,,48507.87457,-0.297,3.731,9.326,,48508.33261,-24.121,-37.854,-24.072,,48507.9841,0.084,-0.168,-0.918,,48507.97912,-0.025,-0.205,0.089,,
48507.90445,0.009,-0.035,-0.03,,48507.87954,-0.296,3.742,9.308,,48508.35254,-24.316,-37.451,-24.329,,48507.98907,0.084,-0.168,-0.918,,48507.9841,-0.052,-0.173,-0.026,,
48507.90942,0.019,-0.059,-0.033,,48507.88455,-0.358,3.721,9.241,,48508.37243,-24.316,-37.659,-24.072,,48508.01397,0.084,-0.168,-0.918,,48507.98907,-0.129,-0.181,-0.078,,
48507.9144,0.027,-0.089,-0.031,,48507.88952,-0.422,3.702,9.207,,48508.39236,-24.609,-37.354,-23.45,,48508.01895,0.084,-0.168,-0.918,,48508.01397,-0.048,-0.139,-0.207,,
48507.91937,0.035,-0.12,-0.029,,48507.8945,-0.481,3.679,9.164,,48508.41229,-25.488,-36.67,-23.071,,48508.02395,0.084,-0.168,-0.918,,48508.01895,-0.046,-0.119,-0.202,,
48507.92438,0.039,-0.148,-0.027,,48507.89947,-0.496,3.662,9.101,,48508.43219,-26.66,-36.377,-22.437,,48508.02893,0.084,-0.168,-0.918,,48508.02395,-0.005,-0.047,-0.25,,
48507.92935,0.042,-0.17,-0.026,,48507.90445,-0.57,3.625,9.021,,48508.45212,-27.246,-36.084,-21.545,,48508.03888,0.084,-0.168,-0.918,,48508.02893,0.035,-0.029,-0.255,,
48507.93432,0.044,-0.186,-0.026,,48507.90942,-0.617,3.605,8.97,,48508.47201,-27.734,-36.572,-21.936,,48508.04385,0.084,-0.168,-0.918,,48508.03888,0.046,0.011,-0.273,,
48507.9393,0.051,-0.194,-0.03,,48507.9144,-0.641,3.596,8.967,,48508.49194,-28.125,-35.791,-21.167,,48508.04883,0.084,-0.168,-0.918,,48508.04385,0.053,0.002,-0.185,,
48507.94427,0.061,-0.199,-0.032,,48507.91937,-0.58,3.556,9.013,,48508.51184,-29.004,-35.693,-20.032,,48508.05881,0.084,-0.168,-0.918,,48508.04883,0.081,-0.054,-0.085,,
48507.94925,0.075,-0.198,-0.036,,48507.92438,-0.57,3.579,9.134,,48508.53174,-30.078,-35.388,-18.896,,48508.06378,0.083,-0.168,-0.918,,48508.05881,0.109,-0.062,-0.094,,
48507.95422,0.09,-0.185,-0.04,,48507.92935,-0.529,3.588,9.249,,48508.55163,-31.055,-35.791,-17.383,,48508.06875,0.083,-0.168,-0.918,,48508.06378,0.103,-0.099,-0.01,,
48507.95923,0.103,-0.162,-0.038,,48507.93432,-0.472,3.568,9.37,,48508.57156,-31.934,-35.095,-16.248,,48508.07373,0.083,-0.168,-0.918,,48508.06875,0.099,-0.094,-0.032,,
48507.9642,0.104,-0.131,-0.036,,48507.9393,-0.43,3.532,9.519,,48508.59149,-32.91,-34.9,-15.234,,48508.0787,0.083,-0.168,-0.918,,48508.07373,0.058,-0.102,-0.158,,
48507.96918,0.102,-0.1,-0.033,,48507.94427,-0.382,3.525,9.639,,48508.61139,-33.398,-34.314,-13.721,,48508.08368,0.083,-0.168,-0.918,,48508.0787,0.016,-0.116,-0.192,,
48507.97415,0.099,-0.08,-0.025,,48507.94925,-0.337,3.533,9.681,,48508.63131,-34.375,-34.314,-12.708,,48508.10858,0.083,-0.167,-0.918,,48508.08368,-0.032,-0.13,-0.143,,
48507.97912,0.099,-0.069,-0.018,,48507.95422,-0.334,3.545,9.664,,48508.65121,-34.961,-34.021,-11.572,,48508.11355,0.082,-0.167,-0.918,,48508.08865,-0.077,-0.155,-0.171,,
48507.9841,0.096,-0.054,-0.017,,48507.95923,-0.349,3.522,9.59,,48508.67114,-35.742,-33.63,-9.045,,48508.11853,0.082,-0.167,-0.918,,48508.10858,0.012,-0.187,-0.142,,
48507.98907,0.09,-0.047,-0.014,,48507.9642,-0.335,3.474,9.518,,48508.69104,-36.523,-33.923,-5.383,,48508.1235,0.082,-0.167,-0.918,,48508.11355,0.032,-0.18,-0.115,,
48507.99408,0.079,-0.046,-0.005,,48507.96918,-0.367,3.422,9.404,,48508.71097,-36.914,-33.533,-1.599,,48508.12851,0.082,-0.166,-0.918,,48508.11853,0.01,-0.185,-0.12,,
48507.99905,0.066,-0.042,0.01,,48507.97415,-0.391,3.453,9.34,,48508.73086,-37.305,-33.228,0.305,,48508.13348,0.082,-0.166,-0.918,,48508.1235,-0.038,-0.144,-0.036,,
48508.00403,0.051,-0.038,0.028,,48507.97912,-0.417,3.486,9.224,,48508.75079,-38.184,-32.153,2.954,,48508.13846,0.082,-0.166,-0.918,,48508.12851,-0.051,-0.122,-0.055,,
48508.009,0.032,-0.031,0.043,,48507.9841,-0.494,3.479,9.168,,48508.77069,-38.574,-31.36,5.725,,48508.14343,0.081,-0.166,-0.918,,48508.13348,-0.068,-0.104,0.009,,
48508.01397,0.017,-0.016,0.05,,48507.98907,-0.557,3.478,9.078,,48508.79062,-38.77,-30.09,8.386,,48508.1484,0.081,-0.166,-0.918,,48508.13846,-0.063,-0.141,0.016,,
48508.01895,-0.002,-0.002,0.049,,48507.99408,-0.566,3.402,9.036,,48508.81054,-39.355,-29.199,10.022,,48508.15338,0.081,-0.166,-0.919,,48508.14343,-0.098,-0.155,0.049,,
48508.02395,-0.02,0.003,0.052,,48507.99905,-0.552,3.412,9.014,,48508.83044,-39.453,-28.027,11.035,,48508.15835,0.08,-0.166,-0.919,,48508.1484,-0.036,-0.115,0.13,,
48508.02893,-0.032,0.005,0.053,,48508.00403,-0.491,3.482,9.039,,48508.85037,-39.453,-26.55,13.94,,48508.16333,0.08,-0.166,-0.919,,48508.15338,0.143,-0.062,0.222,,
48508.0339,-0.04,0.005,0.052,,48508.009,-0.417,3.513,9.017,,48508.87027,-39.355,-25.073,16.089,,48508.16833,0.079,-0.167,-0.919,,48508.15835,0.292,0.024,0.261,,
48508.03888,-0.045,0.001,0.049,,48508.01397,-0.415,3.531,9.018,,48508.89517,-39.063,-23.413,17.981,,48508.17331,0.079,-0.167,-0.919,,48508.16333,0.368,0.069,0.186,,
48508.04385,-0.045,-0.007,0.041,,48508.01895,-0.374,3.574,8.978,,48508.9151,-38.867,-21.643,19.495,,48508.17828,0.079,-0.167,-0.919,,48508.16833,0.339,0.069,0.185,,
48508.04883,-0.043,-0.011,0.034,,48508.02395,-0.373,3.6,8.963,,48508.935,-38.672,-20.264,20.764,,48508.18326,0.079,-0.167,-0.919,,48508.17331,0.272,0.021,0.192,,
48508.0538,-0.038,-0.014,0.026,,48508.02893,-0.331,3.615,8.954,,48508.95492,-37.988,-19.08,22.778,,48508.18823,0.078,-0.167,-0.919,,48508.17828,0.172,-0.008,0.12,,
48508.05881,-0.029,-0.017,0.019,,48508.0339,-0.319,3.654,8.933,,48508.97482,-38.184,-18.103,22.278,,48508.21313,0.078,-0.168,-0.919,,48508.18326,0.087,-0.044,0.043,,
48508.06378,-0.02,-0.022,0.01,,48508.03888,-0.31,3.643,9.019,,48508.99475,-37.891,-17.712,22.534,,48508.21811,0.078,-0.168,-0.919,,48508.18823,0.034,-0.072,-0.004,,
48508.06875,-0.006,-0.026,0.001,,48508.04385,-0.315,3.633,9.105,,48509.01465,-38.379,-16.431,23.413,,48508.22308,0.078,-0.168,-0.919,,48508.21313,-0.008,-0.107,-0.536,,
48508.07373,0.003,-0.031,-0.003,,48508.04883,-0.278,3.582,9.118,,48509.03457,-38.086,-15.051,24.17,,48508.22806,0.078,-0.168,-0.919,,48508.21811,-0.113,-0.117,-0.641,,
48508.0787,0.005,-0.035,-0.007,,48508.0538,-0.246,3.572,9.108,,48509.05447,-37.598,-13.586,25.818,,48508.23303,0.077,-0.168,-0.919,,48508.22308,-0.196,-0.119,-0.681,,
48508.08368,-0.002,-0.035,-0.01,,48508.05881,-0.249,3.533,9.191,,48509.0744,-36.621,-11.328,27.71,,48508.23803,0.077,-0.168,-0.919,,48508.22806,-0.175,-0.083,-0.703,,
48508.08865,-0.011,-0.035,-0.007,,48508.06378,-0.251,3.536,9.17,,48509.09433,-36.133,-9.558,28.21,,48508.24301,0.077,-0.168,-0.919,,48508.23303,-0.144,-0.092,-0.676,,
48508.09363,-0.025,-0.028,-0.001,,48508.06875,-0.29,3.526,9.041,,48509.11423,-35.742,-7.69,29.102,,48508.24798,0.076,-0.169,-0.919,,48508.23803,-0.085,-0.085,-0.694,,
48508.0986,-0.036,-0.02,0.001,,48508.07373,-0.33,3.51,9.004,,48509.13415,-35.059,-5.823,29.724,,48508.25296,0.076,-0.169,-0.919,,48508.24301,0.02,-0.054,-0.727,,
48508.1036,-0.051,-0.016,0.007,,48508.0787,-0.378,3.495,9.051,,48509.15405,-34.668,-5.139,28.333,,48508.25793,0.075,-0.169,-0.919,,48508.24798,0.096,-0.072,-0.903,,
48508.10858,-0.063,-0.015,0.015,,48508.08368,-0.423,3.467,9.021,,48509.17398,-34.375,-2.185,29.858,,48508.26291,0.075,-0.17,-0.919,,48508.25296,0.143,-0.107,-0.935,,
48508.11355,-0.073,-0.011,0.019,,48508.08865,-0.393,3.425,9.009,,48509.19391,-34.277,-1.013,29.858,,48508.26788,0.074,-0.171,-0.919,,48508.25793,0.119,-0.097,-0.979,,
48508.11853,-0.079,-0.018,0.023,,48508.09363,-0.351,3.453,9.014,,48509.2138,-34.18,0.854,30.481,,48508.27286,0.073,-0.171,-0.919,,48508.26291,0.17,-0.038,-0.987,,
48508.1235,-0.077,-0.028,0.024,,48508.0986,-0.365,3.42,8.985,,48509.23373,-33.887,2.332,30.103,,48508.27786,0.072,-0.172,-0.919,,48508.26788,0.268,0.029,-1.049,,
48508.12851,-0.073,-0.036,0.023,,48508.1036,-0.33,3.418,9.044,,48509.25363,-34.18,3.516,29.102,,48508.28283,0.071,-0.173,-0.919,,48508.27286,0.324,0.061,-1.113,,
48508.13348,-0.067,-0.048,0.022,,48508.10858,-0.309,3.419,9.07,,48509.27356,-33.789,5.078,29.102,,48508.28781,0.07,-0.173,-0.919,,48508.27786,0.33,-0.011,-1.16,,
48508.13846,-0.058,-0.068,0.023,,48508.11355,-0.329,3.408,9.066,,48509.29345,-33.594,6.165,29.48,,48508.31271,0.066,-0.175,-0.919,,48508.28283,0.317,-0.029,-1.208,,
48508.14343,-0.044,-0.088,0.027,,48508.11853,-0.376,3.443,9.151,,48509.31338,-33.105,7.739,29.48,,48508.31769,0.065,-0.175,-0.919,,48508.28781,0.373,-0.089,-1.188,,
48508.1484,-0.028,-0.1,0.03,,48508.1235,-0.387,3.46,9.133,,48509.33328,-33.203,8.521,28.467,,48508.32266,0.062,-0.175,-0.92,,48508.31271,0.405,-0.334,-1.17,,
48508.15338,-0.011,-0.104,0.028,,48508.12851,-0.403,3.474,9.197,,48509.35321,-33.496,9.607,28.333,,48508.33261,0.061,-0.175,-0.92,,48508.31769,0.447,-0.378,-1.101,,
48508.15835,0.003,-0.101,0.019,,48508.13348,-0.395,3.433,9.206,,48509.37311,-33.594,10.095,27.954,,48508.33758,0.06,-0.175,-0.92,,48508.32266,0.5,-0.501,-1.214,,
48508.16333,0.014,-0.099,-0.001,,48508.13846,-0.427,3.415,9.241,,48509.39303,-33.887,10.876,27.954,,48508.34256,0.059,-0.175,-0.92,,48508.33261,0.478,-0.546,-1.249,,
48508.16833,0.02,-0.098,-0.021,,48508.14343,-0.36,3.452,9.323,,48509.41296,-33.496,11.072,28.21,,48508.34756,0.058,-0.175,-0.92,,48508.33758,0.49,-0.552,-1.286,,
48508.17331,0.026,-0.1,-0.041,,48508.1484,-0.174,3.505,9.419,,48509.43286,-33.691,11.768,27.832,,48508.35254,0.057,-0.175,-0.92,,48508.34256,0.514,-0.523,-1.439,,
48508.17828,0.031,-0.096,-0.058,,48508.15338,-0.017,3.59,9.461,,48509.45279,-33.887,12.256,27.197,,48508.35751,0.057,-0.175,-0.92,,48508.34756,0.49,-0.501,-1.702,,
48508.18326,0.039,-0.092,-0.066,,48508.15835,0.068,3.637,9.388,,48509.47268,-33.691,12.646,27.454,,48508.36249,0.055,-0.175,-0.92,,48508.35254,0.385,-0.562,-2.096,,
48508.18823,0.043,-0.089,-0.066,,48508.16333,0.047,3.639,9.389,,48509.49261,-33.789,12.939,27.576,,48508.36746,0.054,-0.175,-0.92,,48508.35751,0.259,-0.71,-2.54,,
48508.1932,0.042,-0.077,-0.061,,48508.16833,-0.013,3.592,9.398,,48509.51251,-33.691,13.232,27.71,,48508.37243,0.052,-0.175,-0.921,,48508.36249,0.205,-0.756,-2.911,,
48508.19818,0.037,-0.062,-0.056,,48508.17331,-0.108,3.564,9.326,,48509.53244,-33.887,13.831,27.197,,48508.37741,0.05,-0.176,-0.921,,48508.36746,0.218,-0.758,-3.196,,
48508.20315,0.025,-0.056,-0.044,,48508.17828,-0.189,3.529,9.25,,48509.55234,-34.473,13.135,26.819,,48508.38238,0.048,-0.176,-0.921,,48508.37243,0.322,-0.782,-3.463,,
48508.20816,0.011,-0.052,-0.036,,48508.18326,-0.238,3.503,9.202,,48509.57226,-34.961,12.939,26.062,,48508.38739,0.045,-0.177,-0.921,,48508.37741,0.456,-0.751,-3.589,,
48508.21313,-0.004,-0.05,-0.032,,48508.18823,-0.192,3.482,9.127,,48509.59219,-35.254,11.963,26.318,,48508.40729,0.024,-0.184,-0.922,,48508.38238,0.691,-0.659,-3.56,,
48508.21811,-0.012,-0.064,-0.025,,48508.1932,-0.232,3.449,9.011,,48509.61209,-35.938,11.377,26.318,,48508.41726,0.02,-0.186,-0.922,,48508.38739,0.953,-0.51,-3.492,,
48508.22308,-0.023,-0.086,-0.014,,48508.19818,-0.273,3.457,8.945,,48509.63202,-36.133,10.681,25.684,,48508.42224,0.015,-0.187,-0.922,,48508.40729,1.18,-0.651,-1.382,,
48508.22806,-0.025,-0.112,0.001,,48508.20315,-0.276,3.467,8.826,,48509.65191,-36.23,10.779,26.062,,48508.42721,0.01,-0.187,-0.923,,48508.41726,1.067,-0.807,-0.77,,
48508.23303,-0.021,-0.132,0.012,,48508.20816,-0.27,3.467,8.653,,48509.67184,-36.23,10.486,26.44,,48508.43219,0.006,-0.188,-0.923,,48508.42224,1.061,-0.979,-0.179,,
48508.23803,-0.015,-0.154,0.026,,48508.21313,-0.373,3.455,8.543,,48509.69177,-35.645,10.388,26.819,,48508.43716,0.001,-0.188,-0.924,,48508.42721,1.03,-1.134,0.231,,
48508.24301,-0.005,-0.181,0.034,,48508.21811,-0.455,3.451,8.496,,48509.71167,-35.938,10.974,26.819,,48508.44214,-0.002,-0.188,-0.924,,48508.43219,0.925,-1.345,0.514,,
48508.24798,0.009,-0.205,0.032,,48508.22308,-0.431,3.485,8.467,,48509.7316,-35.449,10.583,27.576,,48508.44711,-0.006,-0.188,-0.924,,48508.43716,0.744,-1.518,0.589,,
48508.25296,0.024,-0.234,0.027,,48508.22806,-0.395,3.473,8.487,,48509.75149,-35.449,10.583,27.332,,48508.45212,-0.01,-0.188,-0.925,,48508.44214,0.601,-1.624,0.517,,
48508.25793,0.042,-0.271,0.025,,48508.23303,-0.329,3.479,8.463,,48509.77142,-35.449,10.388,27.332,,48508.45709,-0.013,-0.188,-0.925,,48508.44711,0.551,-1.584,0.348,,
48508.26291,0.058,-0.308,0.025,,48508.23803,-0.216,3.509,8.423,,48509.79132,-35.449,10.095,27.197,,48508.46206,-0.016,-0.187,-0.925,,48508.45212,0.564,-1.467,0.125,,
48508.26788,0.067,-0.33,0.021,,48508.24301,-0.129,3.491,8.239,,48509.81125,-35.352,9.802,28.088,,48508.46704,-0.019,-0.187,-0.925,,48508.45709,0.582,-1.328,-0.172,,
48508.27286,0.069,-0.346,0.012,,48508.24798,-0.069,3.456,8.198,,48509.83114,-35.059,9.802,28.088,,48508.47201,-0.022,-0.186,-0.925,,48508.46206,0.574,-1.153,-0.417,,
48508.27786,0.06,-0.358,-0,,48508.25296,-0.079,3.467,8.145,,48509.85107,-35.254,9.705,28.21,,48508.47699,-0.025,-0.186,-0.925,,48508.46704,0.561,-0.971,-0.557,,
48508.28283,0.045,-0.363,-0.006,,48508.25793,-0.012,3.528,8.126,,48509.87097,-35.449,9.607,28.088,,48508.48199,-0.028,-0.186,-0.925,,48508.47201,0.463,-0.816,-0.58,,
48508.28781,0.025,-0.362,-0.011,,48508.26291,0.104,3.599,8.054,,48509.8909,-35.352,9.607,28.088,,48508.48697,-0.031,-0.186,-0.925,,48508.47699,0.322,-0.726,-0.524,,
48508.29278,0.002,-0.354,-0.014,,48508.26788,0.179,3.635,7.978,,48509.91083,-35.156,9.9,28.723,,48508.49194,-0.052,-0.192,-0.924,,48508.48199,0.242,-0.703,-0.654,,
48508.29776,-0.026,-0.349,-0.021,,48508.27286,0.204,3.565,7.92,,48509.93072,-35.449,9.314,28.467,,48508.51681,-0.057,-0.193,-0.924,,48508.48697,0.312,-0.638,-0.987,,
48508.30273,-0.054,-0.346,-0.027,,48508.27786,0.21,3.549,7.859,,48509.95065,-35.254,9.106,28.967,,48508.52182,-0.062,-0.195,-0.923,,48508.49194,0.713,-0.335,-0.959,,
48508.30774,-0.078,-0.344,-0.029,,48508.28283,0.285,3.49,7.868,,48509.97055,-34.863,8.813,28.589,,48508.52676,-0.067,-0.197,-0.923,,48508.51681,0.807,-0.452,-0.602,,
48508.31271,-0.101,-0.338,-0.027,,48508.28781,0.35,3.44,7.828,,48509.99048,-34.766,8.911,29.224,,48508.53174,-0.073,-0.199,-0.922,,48508.52182,1.131,-0.499,-0.012,,
48508.31769,-0.122,-0.328,-0.025,,48508.29278,0.346,3.372,7.765,,48510.01037,-34.473,8.813,30.103,,48508.53671,-0.078,-0.201,-0.922,,48508.52676,1.352,-0.557,0.421,,
48508.32266,-0.141,-0.313,-0.017,,48508.29776,0.378,3.325,7.749,,48510.0303,-34.375,8.521,29.98,,48508.54168,-0.088,-0.205,-0.921,,48508.53174,1.394,-0.54,0.544,,
48508.32763,-0.162,-0.295,-0.01,,48508.30273,0.396,3.281,7.753,,48510.05023,-34.375,8.228,29.102,,48508.57654,-0.116,-0.213,-0.917,,48508.53671,1.275,-0.544,0.808,,
48508.33261,-0.179,-0.278,0.003,,48508.30774,0.412,3.223,7.838,,48510.07013,-34.863,8.228,29.346,,48508.58151,-0.121,-0.214,-0.916,,48508.54168,0.627,-0.929,1.03,,
48508.33758,-0.189,-0.267,0.013,,48508.31271,0.472,3.169,7.9,,48510.09006,-35.059,7.935,29.224,,48508.58648,-0.125,-0.216,-0.915,,48508.57654,-0.202,-1.105,0.15,,
48508.34256,-0.193,-0.263,0.021,,48508.31769,0.515,3.089,7.867,,48510.10995,-35.254,8.13,28.723,,48508.59149,-0.13,-0.217,-0.914,,48508.58151,0.093,-0.751,0.033,,
48508.34756,-0.198,-0.264,0.025,,48508.32266,0.559,3.025,7.772,,48510.12988,-35.352,8.032,28.589,,48508.60641,-0.143,-0.222,-0.91,,48508.58648,0.644,-0.239,0.101,,
48508.35254,-0.197,-0.277,0.038,,48508.32763,0.554,2.968,7.73,,48510.14978,-35.156,8.716,28.723,,48508.61139,-0.148,-0.223,-0.91,,48508.59149,1.142,0.258,0.052,,
48508.35751,-0.198,-0.317,0.053,,48508.33261,0.582,2.948,7.685,,48510.16971,-35.547,8.716,28.21,,48508.61636,-0.152,-0.224,-0.909,,48508.60641,1.827,0.873,-0.975,,
48508.36249,-0.198,-0.39,0.069,,48508.33758,0.622,2.965,7.523,,48510.1896,-35.742,8.911,28.21,,48508.62134,-0.157,-0.225,-0.908,,48508.61139,1.696,0.781,-1.325,,
48508.36746,-0.195,-0.484,0.086,,48508.34256,0.615,2.974,7.25,,48510.20953,-35.742,9.314,27.71,,48508.62631,-0.162,-0.225,-0.907,,48508.61636,1.522,0.613,-1.548,,
48508.37243,-0.194,-0.597,0.1,,48508.34756,0.526,2.899,6.842,,48510.23443,-36.133,9.509,26.953,,48508.63131,-0.167,-0.226,-0.907,,48508.62134,1.313,0.423,-1.742,,
48508.37741,-0.188,-0.739,0.107,,48508.35254,0.417,2.737,6.381,,48510.25433,-37.402,8.813,22.534,,48508.63629,-0.173,-0.227,-0.906,,48508.62631,1.017,0.253,-1.778,,
48508.38238,-0.172,-0.895,0.108,,48508.35751,0.382,2.676,5.99,,48510.27426,-38.086,9.705,23.669,,48508.64126,-0.179,-0.228,-0.905,,48508.63131,0.66,0.08,-1.613,,
48508.38739,-0.152,-1.066,0.097,,48508.36249,0.421,2.659,5.683,,48510.29419,-39.551,9.9,21.643,,48508.64624,-0.185,-0.229,-0.904,,48508.63629,0.336,-0.134,-1.293,,
48508.39236,-0.13,-1.248,0.072,,48508.36746,0.555,2.621,5.391,,48510.31408,-41.211,9.998,19.25,,48508.65121,-0.192,-0.231,-0.903,,48508.64126,0.134,-0.298,-0.789,,
48508.39734,-0.115,-1.421,0.038,,48508.37243,0.727,2.637,5.24,,48510.33398,-42.383,9.412,15.967,,48508.65619,-0.199,-0.234,-0.901,,48508.64624,0.131,-0.491,-0.193,,
48508.40231,-0.106,-1.56,-0,,48508.37741,1.009,2.716,5.243,,48510.35391,-43.555,8.911,9.521,,48508.66119,-0.206,-0.237,-0.899,,48508.65121,0.263,-0.714,0.27,,
48508.40729,-0.108,-1.662,-0.037,,48508.38238,1.326,2.854,5.284,,48510.37384,-44.336,8.716,8.508,,48508.66617,-0.214,-0.241,-0.897,,48508.65619,0.51,-0.985,0.592,,
